"Keycode","Keyname","Keycount"
49,"1",914
50,"2",389
51,"3",393
52,"4",291
53,"5",245
54,"6",462
55,"7",209
56,"8",394
57,"9",987
48,"0",1261
65,"A",9576
66,"B",2263
67,"C",5430
68,"D",5987
69,"E",13738
70,"F",3192
71,"G",3266
72,"H",4403
73,"I",11328
74,"J",5084
75,"K",4411
76,"L",5031
77,"M",3313
78,"N",9079
79,"O",8422
80,"P",3715
81,"Q",186
82,"R",7974
83,"S",8133
84,"T",10641
85,"U",4746
86,"V",2832
87,"W",3028
88,"X",730
89,"Y",2805
90,"Z",545
16777219,"Backspace",21695
16777220,"Enter",5498
16777217,"Tab",3540
16777252,"Capslock",8
16781922,"Left Shift",7149
16781917,"Left Ctrl",4036
16781915,"Left Alt",4318
16781914,"Right Alt",5
16781916,"Right Ctrl",272
16781921,"Right Shift",3162
16777234,"Left",2126
16777237,"Down",2469
16777236,"Right",2126
16777235,"Up",1720
16777222,"Insert",0
16777232,"Home",13
16777238,"PageUp",0
16777223,"Delete",299
16777233,"End",27
16777239,"PageDown",2
16777216,"Escape",2003
32,"Space",18405
16777264,"F1",5
16777265,"F2",60
16777266,"F3",15
16777267,"F4",11
16777268,"F5",21
16777269,"F6",10
16777270,"F7",11
16777271,"F8",6
16777272,"F9",20
16777273,"F10",1
16777274,"F11",2
16777275,"F12",5
195,"~",243
45,"-",430
61,"=",693
91,"[",1280
93,"]",1127
92,"\",76
59,";",731
39,"'",692
44,",",1159
46,".",724
47,"/",1276
